1.971429824165306766e+00 2.981761643796112539e-04
1.971610399180323769e+00 3.520047596002585607e-04
1.971790974195340773e+00 4.058344303258526334e-04
1.971971549210357777e+00 4.596651754327205942e-04
1.972152124225374781e+00 5.134969938368921273e-04
1.972332699240391785e+00 5.673298844940993704e-04
1.972513274255408788e+00 6.211638463997771857e-04
1.972693849270425792e+00 6.749988785890628350e-04
1.972874424285442796e+00 7.288349801367960878e-04
1.973054999300459800e+00 7.826721501575195465e-04
1.973235574315476804e+00 8.365103878054777793e-04
1.973416149330493807e+00 8.903496922746188379e-04
1.973596724345510589e+00 9.441900627640938603e-04
1.973777299360527593e+00 9.980314984143294748e-04
1.973957874375544597e+00 1.051873998421413298e-03
1.974138449390561600e+00 1.105717561992697806e-03
1.974319024405578604e+00 1.159562188343587954e-03
1.974499599420595608e+00 1.213407876697540199e-03
1.974680174435612612e+00 1.267254626286064235e-03
1.974860749450629616e+00 1.321102436348721692e-03
1.975041324465646619e+00 1.374951306133126352e-03
1.975221899480663623e+00 1.428801234894944584e-03
1.975402474495680627e+00 1.482652221897838313e-03
1.975583049510697631e+00 1.536504266405349988e-03
1.975763624525714635e+00 1.590357367687663011e-03
1.975944199540731638e+00 1.644211525023432955e-03
1.976124774555748642e+00 1.698066737694393664e-03
1.976305349570765646e+00 1.751923004985355510e-03
1.976485924585782650e+00 1.805780326184206266e-03
1.976666499600799654e+00 1.859638700581911106e-03
1.976847074615816657e+00 1.913498127472512168e-03
1.977027649630833661e+00 1.967358606153129207e-03
1.977208224645850665e+00 2.021220135923958942e-03
1.977388799660867669e+00 2.075082716088275277e-03
1.977569374675884672e+00 2.128946345952429514e-03
1.977749949690901454e+00 2.182811024825783569e-03
1.977930524705918458e+00 2.236676752020976249e-03
1.978111099720935462e+00 2.290543526853524268e-03
1.978291674735952466e+00 2.344411348641823115e-03
1.978472249750969469e+00 2.398280216700479205e-03
1.978652824765986473e+00 2.452150130350044289e-03
1.978833399781003477e+00 2.506021088915522284e-03
1.979013974796020481e+00 2.559893091723193428e-03
1.979194549811037485e+00 2.613766138100612115e-03
1.979375124826054488e+00 2.667640227376609496e-03
1.979555699841071492e+00 2.721515358881290009e-03
1.979736274856088496e+00 2.775391531946034412e-03
1.979916849871105500e+00 2.829268745903498923e-03
1.980097424886122504e+00 2.883147000087613911e-03
1.980277999901139507e+00 2.937026293833586502e-03
1.980458574916156511e+00 2.990906626477897109e-03
1.980639149931173515e+00 3.044787997358303338e-03
1.980819724946190519e+00 3.098670405813836511e-03
1.981000299961207523e+00 3.152553851184804277e-03
1.981180874976224526e+00 3.206438332812788436e-03
1.981361449991241530e+00 3.260323850040646679e-03
1.981542025006258534e+00 3.314210402212512153e-03
1.981722600021275538e+00 3.368097988673792158e-03
1.981903175036292319e+00 3.421986608771103965e-03
1.982083750051309323e+00 3.475876261852538056e-03
1.982264325066326327e+00 3.529766947265080765e-03
1.982444900081343331e+00 3.583658664354786010e-03
1.982625475096360335e+00 3.637551412473655210e-03
1.982806050111377338e+00 3.691445190974472143e-03
1.982986625126394342e+00 3.745339999210605189e-03
1.983167200141411346e+00 3.799235836536007764e-03
1.983347775156428350e+00 3.853132702305217885e-03
1.983528350171445354e+00 3.907030595873357305e-03
1.983708925186462357e+00 3.960929516596134979e-03
1.983889500201479361e+00 4.014829463829842730e-03
1.984070075216496365e+00 4.068730436931356116e-03
1.984250650231513369e+00 4.122632435258138765e-03
1.984431225246530373e+00 4.176535458168236306e-03
1.984611800261547376e+00 4.230439505020280704e-03
1.984792375276564380e+00 4.284344575173487657e-03
1.984972950291581384e+00 4.338250667987658335e-03
1.985153525306598388e+00 4.392157782823176773e-03
1.985334100321615391e+00 4.446065919041015946e-03
1.985514675336632395e+00 4.499975076002729960e-03
1.985695250351649399e+00 4.553885253070457523e-03
1.985875825366666403e+00 4.607796449606924548e-03
1.986056400381683407e+00 4.661708664975439814e-03
1.986236975396700188e+00 4.715621898539832518e-03
1.986417550411717192e+00 4.769536149664712482e-03
1.986598125426734196e+00 4.823451417715078973e-03
1.986778700441751200e+00 4.877367702056580046e-03
1.986959275456768204e+00 4.931285002055448355e-03
1.987139850471785207e+00 4.985203317078502026e-03
1.987320425486802211e+00 5.039122646490821859e-03
1.987501000501819215e+00 5.093042989658517344e-03
1.987681575516836219e+00 5.146964345951416352e-03
1.987862150531853223e+00 5.200886714739650328e-03
1.988042725546870226e+00 5.254810095393643889e-03
1.988223300561887230e+00 5.308734487284120021e-03
1.988403875576904234e+00 5.362659889782096616e-03
1.988584450591921238e+00 5.416586302258885599e-03
1.988765025606938242e+00 5.470513724086095535e-03
1.988945600621955245e+00 5.524442154635630757e-03
1.989126175636972249e+00 5.578371593279689636e-03
1.989306750651989253e+00 5.632302039390768046e-03
1.989487325667006257e+00 5.686233492341656766e-03
1.989667900682023260e+00 5.740165951505440609e-03
1.989848475697040264e+00 5.794099416255501026e-03
1.990029050712057268e+00 5.848033885965516106e-03
1.990209625727074272e+00 5.901969360009456239e-03
1.990390200742091054e+00 5.955905837761526003e-03
1.990570775757108057e+00 6.009843318596419168e-03
1.990751350772125061e+00 6.063781801888928381e-03
1.990931925787142065e+00 6.117721287014208850e-03
1.991112500802159069e+00 6.171661773347710683e-03
1.991293075817176073e+00 6.225603260265178893e-03
1.991473650832193076e+00 6.279545747142654261e-03
1.991654225847210080e+00 6.333489233356474207e-03
1.991834800862227084e+00 6.387433718283270188e-03
1.992015375877244088e+00 6.441379201299968563e-03
1.992195950892261092e+00 6.495325681783794929e-03
1.992376525907278095e+00 6.549273159112265451e-03
1.992557100922295099e+00 6.603221632663195534e-03
1.992737675937312103e+00 6.657171101814692883e-03
1.992918250952329107e+00 6.711121565945164444e-03
1.993098825967346110e+00 6.765073024433310329e-03
1.993279400982363114e+00 6.819025476658125556e-03
1.993459975997380118e+00 6.872978921998888768e-03
1.993640551012397122e+00 6.926933359833070160e-03
1.993821126027414126e+00 6.980888789540182562e-03
1.994001701042431129e+00 7.034845210501978335e-03
1.994182276057448133e+00 7.088802622100372902e-03
1.994362851072465137e+00 7.142761023717448220e-03
1.994543426087481919e+00 7.196720414735384257e-03
1.994724001102498923e+00 7.250680794536727009e-03
1.994904576117515926e+00 7.304642162503986041e-03
1.995085151132532930e+00 7.358604518019904242e-03
1.995265726147549934e+00 7.412567860467390163e-03
1.995446301162566938e+00 7.466532189229516288e-03
1.995626876177583942e+00 7.520497503689521634e-03
1.995807451192600945e+00 7.574463803230810019e-03
1.995988026207617949e+00 7.628431087236949189e-03
1.996168601222634953e+00 7.682399355091675160e-03
1.996349176237651957e+00 7.736368606178886144e-03
1.996529751252668961e+00 7.790338839882646887e-03
1.996710326267685964e+00 7.844310055587189537e-03
1.996890901282702968e+00 7.898282252676906701e-03
1.997071476297719972e+00 7.952255430536358388e-03
1.997252051312736976e+00 8.006229588550274612e-03
1.997432626327753979e+00 8.060204726103543243e-03
1.997613201342770983e+00 8.114180842581220424e-03
1.997793776357787987e+00 8.168157937368530561e-03
1.997974351372804991e+00 8.222136009850857657e-03
1.998154926387821995e+00 8.276115059413755720e-03
1.998335501402838998e+00 8.330095085442940084e-03
1.998516076417856002e+00 8.384076087324296087e-03
1.998696651432872784e+00 8.438058064443806211e-03
1.998877226447889788e+00 8.492041016187812028e-03
1.999057801462906792e+00 8.546024941942629086e-03
1.999238376477923795e+00 8.600009841094800184e-03
1.999418951492940799e+00 8.653995713031034653e-03
1.999599526507957803e+00 8.707982557138204890e-03
1.999780101522974807e+00 8.761970372803355028e-03
1.999960676537991811e+00 8.815959159413685325e-03
2.000141251553008814e+00 8.869948916356569513e-03
2.000321826568026040e+00 8.923939643019606835e-03
2.000502401583042822e+00 8.977931338790299393e-03
2.000682976598059604e+00 9.031924003056647152e-03
2.000863551613076829e+00 9.085917635206813142e-03
2.001044126628093611e+00 9.139912234628729676e-03
2.001224701643110837e+00 9.193907800710532027e-03
2.001405276658127619e+00 9.247904332838884425e-03
2.001585851673144845e+00 9.301901830404066263e-03
2.001766426688161626e+00 9.355900292796289278e-03
2.001947001703178852e+00 9.409899719406398383e-03
2.002127576718195634e+00 9.463900109624811749e-03
2.002308151733212860e+00 9.517901462842580720e-03
2.002488726748229642e+00 9.571903778450329900e-03
2.002669301763246867e+00 9.625907055839313595e-03
2.002849876778263649e+00 9.679911294400366309e-03
2.003030451793280875e+00 9.733916493524948782e-03
2.003211026808297657e+00 9.787922652604098481e-03
2.003391601823314883e+00 9.841929771029484311e-03
2.003572176838331664e+00 9.895937848192350172e-03
2.003752751853348890e+00 9.949946883484573137e-03
2.003933326868365672e+00 1.000395687629760007e-02
2.004113901883382898e+00 1.005796782602351620e-02
2.004294476898399679e+00 1.011197973205397310e-02
2.004475051913416905e+00 1.016599259378126244e-02
2.004655626928433687e+00 1.022000641059724567e-02
2.004836201943450469e+00 1.027402118189428212e-02
2.005016776958467695e+00 1.032803690706484215e-02
2.005197351973484476e+00 1.038205358550109078e-02
2.005377926988501702e+00 1.043607121659583838e-02
2.005558502003518484e+00 1.049008979974145814e-02
2.005739077018535710e+00 1.054410933433096338e-02
2.005919652033552492e+00 1.059812981975693548e-02
2.006100227048569717e+00 1.065215125541259071e-02
2.006280802063586499e+00 1.070617364069072208e-02
2.006461377078603725e+00 1.076019697498474884e-02
2.006641952093620507e+00 1.081422125768766868e-02
2.006822527108637733e+00 1.086824648819311248e-02
2.007003102123654514e+00 1.092227266589428092e-02
2.007183677138671740e+00 1.097629979018500783e-02
2.007364252153688522e+00 1.103032786045870552e-02
2.007544827168705748e+00 1.108435687610941252e-02
2.007725402183722530e+00 1.113838683653074584e-02
2.007905977198739755e+00 1.119241774111695217e-02
2.008086552213756537e+00 1.124644958926185323e-02
2.008267127228773763e+00 1.130048238035990561e-02
2.008447702243790545e+00 1.135451611380513225e-02
2.008628277258807771e+00 1.140855078899219444e-02
2.008808852273824552e+00 1.146258640531533021e-02
2.008989427288841334e+00 1.151662296216926853e-02
2.009170002303858560e+00 1.157066045894884938e-02
2.009350577318875342e+00 1.162469889504861437e-02
2.009531152333892567e+00 1.167873826986374347e-02
2.009711727348909349e+00 1.173277858278898300e-02
2.009892302363926575e+00 1.178681983321971417e-02
2.010072877378943357e+00 1.184086202055089493e-02
2.010253452393960583e+00 1.189490514417811291e-02
2.010434027408977364e+00 1.194894920349568249e-02
2.010614602423994590e+00 1.200299419789893629e-02
2.010795177439011372e+00 1.205704012678483761e-02
2.010975752454028598e+00 1.211108698955097596e-02
